Id,ArtifactName,CorrectMaterial,CorrectSignature,CorrectType,CorrectColor,CorrectRarity,CorrectOrigin,CorrectCondition,SpecialRule
a_025,휴대용 랜턴,IRON,ARTISAN,TOOL,GOLD,COMMON,DWARF_MINE,ACTIVE,NONE
a_026,흑요석 단검,STONE,CURSE,WEAPON,PURPLE,EPIC,UNKNOWN,CORRUPTED,MUST_HAVE_CURSE
a_027,전투용 창,WOOD,ARTISAN,WEAPON,SILVER,COMMON,ELF_FOREST,ACTIVE,NONE
a_028,자연의 지팡이,WOOD,ARTISAN,WEAPON,GREEN,RARE,ELF_FOREST,ACTIVE,MUST_BE_ARTISAN
a_029,대장장이 망치,IRON,ARTISAN,TOOL,SILVER,UNCOMMON,DWARF_MINE,ACTIVE,MUST_BE_ARTISAN
a_030,관찰자의 마법서,LEATHER,ROYAL,MISC,BLUE,LEGENDARY,ROYAL_CAPITAL,ACTIVE,MUST_BE_ROYAL
a_031,순찰자의 후드,LEATHER,ARTISAN,ARMOR,GREEN,UNCOMMON,ELF_FOREST,ACTIVE,NONE
a_032,보강된 가죽 각반,LEATHER,ARTISAN,ARMOR,BLACK,UNCOMMON,ELF_FOREST,ACTIVE,NONE
a_033,서리 은반지,SILVER,ROYAL,ACCESSORY,BLUE,RARE,ROYAL_CAPITAL,ACTIVE,MUST_BE_ROYAL
a_034,오래된 주머니,LEATHER,NONE,MISC,BLACK,COMMON,UNKNOWN,ACTIVE,NONE
a_035,깨진 마나 물약,GLASS,NONE,POTION,BLUE,COMMON,UNKNOWN,DEPLETED,NONE
a_036,사냥꾼의 화살통,LEATHER,ARTISAN,MISC,PURPLE,COMMON,ELF_FOREST,ACTIVE,NONE
a_037,신호용 나팔,SILVER,ROYAL,TOOL,BLUE,UNCOMMON,ROYAL_CAPITAL,ACTIVE,NONE
a_038,점술가의 수정구,GLASS,CURSE,MISC,PURPLE,EPIC,UNKNOWN,CORRUPTED,MUST_HAVE_CURSE
a_039,감시자의 목걸이,SILVER,NONE,ACCESSORY,GREEN,RARE,UNKNOWN,ACTIVE,NONE
a_040,자수정 귀걸이,GOLD,ROYAL,ACCESSORY,PURPLE,UNCOMMON,ROYAL_CAPITAL,ACTIVE,NONE
a_041,귀족의 보석 벨트,LEATHER,ROYAL,ACCESSORY,PURPLE,UNCOMMON,ROYAL_CAPITAL,ACTIVE,MUST_BE_ROYAL
a_042,암살자의 가면,IRON,CURSE,ARMOR,PURPLE,EPIC,UNKNOWN,CORRUPTED,MUST_HAVE_CURSE
a_043,영혼 랜턴,IRON,CURSE,TOOL,PURPLE,RARE,UNKNOWN,CORRUPTED,MUST_HAVE_CURSE
a_044,고대 저주 주문서,LEATHER,CURSE,MISC,PURPLE,RARE,UNKNOWN,ACTIVE,MUST_HAVE_CURSE
a_045,나무 방패,WOOD,ARTISAN,ARMOR,SILVER,COMMON,ELF_FOREST,ACTIVE,NONE
a_046,상급 마나 물약,GLASS,NONE,POTION,BLUE,UNCOMMON,ROYAL_CAPITAL,ACTIVE,MUST_BE_ACTIVE
a_047,기사단 장화,LEATHER,ROYAL,ARMOR,BLACK,RARE,ROYAL_CAPITAL,ACTIVE,MUST_BE_ROYAL
a_048,왕립 서고 열쇠,GOLD,ROYAL,TOOL,PURPLE,LEGENDARY,ROYAL_CAPITAL,ACTIVE,MUST_BE_ROYAL
a_049,마법사의 망토,LEATHER,ROYAL,ARMOR,PURPLE,RARE,ROYAL_CAPITAL,ACTIVE,MUST_BE_ROYAL
a_050,깃펜과 잉크,GLASS,NONE,TOOL,PURPLE,COMMON,ROYAL_CAPITAL,ACTIVE,NONE
